category,name,sku,unit_label,case_label,price_single,price_case,cost_price_single,cost_price_case,shelf_life_months,can_split_sale,minimum_order_qty,is_active,stock_quantity,units_per_case,image
Bag & Hand Carrier,L020102,L020102,,,45.0,45.0,0,0,12,1,1,1,0,1.0,products/L020102.png
Bag & Hand Carrier,LDPE Blank Two Cup Bag 透明兩杯袋,L020202,,,30.0,30.0,0,0,12,1,1,1,0,1.0,products/L020202.png
Bag & Hand Carrier,L020302,L020302,,,25.0,25.0,0,0,12,1,1,1,0,1.0,products/L020302.png
Tapioca Boba,L020702,L020702,2.2 LBS /BAG,20 BAGS/CASE,5.0,45.0,0,0,24,1,1,1,0,20.0,products/L020702.png
Special Powder 特殊粉,Popcorn Chicken Marinate Powder 鹽酥雞醃漬粉,N010103,2.2 LBS /BAG,10 BAGS/CASE,18.0,135.0,0,0,24,1,1,1,0,10.0,products/N010103.png
Special Powder 特殊粉,Popcorn Chicken Brown Sugar Pepper Salt Powder 鹽酥雞胡椒粉,N010203,2.2 LBS /BAG,10 BAGS/CASE,20.0,175.0,0,0,24,1,1,1,0,10.0,products/N010203.png
Special Powder 特殊粉,N010302,N010302,2.2 LBS /BAG,10 BAGS/CASE,55.0,55.0,0,0,24,1,1,1,0,10.0,products/N010302.png
Special Powder 特殊粉,N010403,N010403,2.2 LBS /BAG,10 BAGS/CASE,18.0,135.0,0,0,24,1,1,1,0,10.0,products/N010403.png
Pure Powder 純粉,P010303,P010303,2.2 LBS /BAG,10 BAGS/CASE,16.0,135.0,0,0,24,1,1,1,0,10.0,products/P010303.png
Pure Powder 純粉,P010313,P010313,2.2 LBS /BAG,10 BAGS/CASE,15.0,125.0,0,0,24,1,1,1,0,10.0,products/P010313.png
Pure Powder 純粉,P020103,P020103,2.2 LBS /BAG,10 BAGS/CASE,15.0,110.0,0,0,24,1,1,1,0,10.0,products/P020103.png
Pure Powder 純粉,P020203,P020203,2.2 LBS /BAG,10 BAGS/CASE,15.0,110.0,0,0,24,1,1,1,0,10.0,products/P020203.png
Pure Powder 純粉,P020303,P020303,2.2 LBS /BAG,10 BAGS/CASE,16.0,135.0,0,0,24,1,1,1,0,10.0,products/P020303.png
Pure Powder 純粉,P020403,P020403,2.2 LBS /BAG,10 BAGS/CASE,15.0,110.0,0,0,24,1,1,1,0,10.0,products/P020403.png
Pure Powder 純粉,Honeydew Powder 哈密瓜粉,P020503,2.2 LBS /BAG,10 BAGS/CASE,15.0,120.0,0,0,24,1,1,1,0,10.0,products/P020503.png
Pure Powder 純粉,P020703,P020703,2.2 LBS /BAG,10 BAGS/CASE,15.0,120.0,0,0,24,1,1,1,0,10.0,products/P020703.png
Pure Powder 純粉,P020803,P020803,2.2 LBS /BAG,10 BAGS/CASE,15.0,110.0,0,0,24,1,1,1,0,10.0,products/P020803.png
